,Full Name,Gender,Number of News Articles,Number of Founded Organizations,Number of Portfolio Companies,Number of Investments_x,Number of Partner Investments,Number of Lead Investments_x,Number of Exits_x,Number of Events_x,Operating Status,Founded Date,Closed Date,Company Type,Number of Founders,Success,Founder
1557,Jeff Tangney,1,41,1,0,0,0,0,0,1,1,2011,0,1,3,1,1
1558,Shari Buck,0,0,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
1559,Erik Berlin,1,5,1,0,0,0,0,0,1,1,2016,0,1,0,0,0
1560,Alan Swarts,1,6,1,0,0,0,0,0,0,1,2016,0,1,0,0,1
1561,Jose Alvarez,1,11,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
1562,Michael Pass,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
1563,Zvi Schreiber,1,24,4,1,1,0,0,0,1,1,2012,0,1,1,1,0
1564,Georges Harik,1,66,2,33,34,0,1,11,0,1,2007,0,1,3,1,1
1565,Ralph Harik,1,13,2,0,0,0,0,0,0,1,2007,0,1,3,1,1
1566,Rob Wiesenthal,1,43,1,5,5,0,0,0,0,1,2014,0,1,2,0,1
1567,Joel Simkhai,1,53,1,1,1,0,0,0,1,1,2008,0,1,3,1,1
1568,Dario Fazlic,1,0,2,0,0,0,0,0,0,1,2008,0,1,3,1,1
1569,Linden Tibbets,1,80,1,0,0,0,0,0,4,1,2010,0,1,2,1,1
1570,Alexander Tibbets,1,0,1,0,0,0,0,0,1,1,2010,0,1,2,1,1
1571,Marco Boerries,1,137,2,0,0,0,0,0,3,1,2009,0,1,1,0,1
1572,Ben Fischman,1,17,3,0,0,0,0,0,1,1,2008,0,0,1,1,0
1573,Brian Mullins,1,38,1,0,0,0,0,0,1,1,2010,0,1,3,1,1
1574,Gaia Dempsey,0,3,2,0,0,0,0,0,5,1,2010,0,1,3,1,1
1575,William Wolfram,1,4,2,0,0,0,0,0,0,1,2016,0,0,1,0,1
1576,Sridhar Iyengar,1,19,3,4,5,0,0,0,8,1,2011,0,0,2,1,1
1577,Ben Leventhal,1,11,1,2,3,0,0,1,0,1,2014,0,0,3,0,1
1578,Michael Montero,1,1,3,0,0,0,0,0,0,1,2014,0,0,3,0,1
1579,Murshid M. Ali,1,6,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
1580,Walter Driver,1,35,1,1,1,0,0,0,3,1,2011,0,1,4,1,1
1581,Eric Futoran,1,9,2,0,0,0,0,0,1,1,2011,0,1,4,1,1
1582,Ankur Bulsara,1,8,1,2,2,0,0,0,0,1,2011,0,1,4,1,1
1583,Tracy DiNunzio,0,23,2,0,0,0,0,0,3,1,2012,0,1,3,1,1
1584,Sash Catanzarite,1,1,1,0,0,0,0,0,1,1,2012,0,1,3,1,1
1585,Dave Girouard,1,161,1,2,2,0,0,1,2,1,2012,0,1,3,1,1
1586,Paul Gu,1,5,1,0,0,0,0,0,4,1,2012,0,1,3,1,1
1587,Anna M. Counselman,0,2,1,0,0,0,0,0,1,1,2012,0,1,3,1,1
1588,Sanjay Beri,1,38,2,0,0,0,0,0,2,1,2012,0,1,1,1,0
1589,Robert M. Lee,1,20,1,0,0,0,0,0,2,1,2016,0,1,3,0,1
1590,Justin Cavinee,1,0,1,0,0,0,0,0,0,1,2016,0,1,3,0,1
1591,Elizabeth Rossiello,0,45,1,0,0,0,0,0,3,1,2013,0,1,3,0,1
1592,Charlene Chen,0,3,1,0,0,0,0,0,2,1,2013,0,1,3,0,1
1593,Matt MacInnis,1,107,1,1,1,0,0,0,0,1,2009,0,1,3,1,1
1594,Robert Cromwell,1,0,1,0,0,0,0,0,0,1,2009,0,1,3,1,1
1595,Vikram Joshi,1,4,2,0,0,0,0,0,0,1,2013,0,1,4,0,1
1596,Jerene Yang,2,0,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
1597,Rebecca Ye,0,0,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
1598,Brent Lim Tze Hao,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
1599,Brian M. Fenty,1,1,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
1600,Merritt F. Baer,1,1,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
1601,Sean Spector,1,37,2,1,1,0,0,0,0,1,2014,0,1,3,1,1
1602,Christian Carollo,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,1,1
1603,Leonard Riggio,1,40,2,0,0,0,0,0,0,1,1917,0,1,1,1,1
1604,Ryan Babenzien,1,7,1,0,0,0,0,0,3,1,2013,0,1,2,1,1
1605,Andy Byrne,1,22,1,0,0,0,0,0,1,1,2012,0,1,2,1,0
1606,Klaas Kersting,1,50,2,12,13,0,0,4,3,1,2011,0,1,3,1,1
1607,Christian Sanz,1,29,2,0,0,0,0,0,5,1,2013,0,1,2,1,1
1608,Justin Bailey,1,40,1,0,0,0,0,0,1,1,2015,0,1,3,0,1
1609,Jim Figliulo,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
1610,Elina Berglund,0,8,1,0,0,0,0,0,1,1,2013,0,1,3,0,1
1611,Elina Berglund,0,7,1,0,0,0,0,0,1,1,2013,0,1,3,0,1
1612,Raoul Scherwitzl,1,2,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
1613,Elina Berglund Scherwitzl,0,0,1,0,0,0,0,0,3,1,2013,0,1,3,0,1
1614,Ross McCray,1,12,1,0,0,0,0,0,0,1,2014,0,1,2,1,1
1615,Dave Gullo,1,6,3,0,0,0,0,0,0,1,2014,0,1,2,1,1
1616,Michael Blend,1,3,2,1,1,0,0,0,0,1,2013,0,1,2,1,1
1617,Diwakar Choubey,1,0,1,0,0,0,0,0,6,1,2013,0,1,4,0,1
1618,Chee Mun Foong,1,1,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
1619,Pratyush Tiwari,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
1620,Alon Shwartz,1,7,2,0,0,0,0,0,0,1,2015,0,1,2,0,1
1621,Alexander Zherdev,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
1622,Kevin Wall,1,10,2,5,5,0,0,1,0,1,2016,0,1,3,1,1
1623,Jason Kerr,1,2,6,0,0,0,0,0,0,1,2016,0,1,2,0,1
1624,James Gutierrez,1,6,3,1,1,0,0,0,2,1,2012,0,1,2,1,1
1625,Kevin Kang,1,0,1,0,0,0,0,0,0,1,2012,0,1,2,1,1
1626,Brett Crosby,1,46,2,4,4,0,0,2,0,1,2013,0,1,2,0,1
1627,Brew Johnson,1,5,1,0,0,0,0,0,1,1,2013,0,1,2,0,1
1628,Godard Abel,1,60,2,3,5,0,0,1,2,1,2009,0,1,1,1,0
1629,Leon Herrera,1,6,1,0,0,0,0,0,0,0,2013,2017,1,3,1,1
1630,Mario N,1,5,1,0,0,0,0,0,0,0,2013,2017,1,3,1,1
1631,Joseba Mendivil,1,4,1,0,0,0,0,0,0,0,2013,2017,1,3,1,1
1632,Blake Mycoskie,1,76,1,5,5,0,0,0,0,1,2006,0,1,1,0,1
1633,Thuc Vu,1,5,3,1,1,0,0,1,0,1,2014,0,1,3,1,1
1634,Daniel Starr,1,0,1,0,0,0,0,0,0,1,2017,0,1,2,0,1
1635,Flaviu Rus,1,0,1,0,0,0,0,0,0,1,2017,0,1,2,0,1
1636,Diego Oppenheimer,1,24,1,0,0,0,0,0,1,1,2013,0,1,2,0,1
1637,Kenny Daniel,1,6,1,0,0,0,0,0,1,1,2013,0,1,2,0,1
1638,David Barrett,1,8,1,0,0,0,0,0,7,1,2008,0,1,2,1,1
1639,Witold Stankiewicz,1,0,1,0,0,0,0,0,0,1,2008,0,1,2,1,1
1640,Sergey Petrossov,1,23,1,0,0,0,0,0,0,1,2012,0,1,2,1,1
1641,Marc Cenedella,1,35,2,0,0,0,0,0,1,1,2003,0,1,2,0,1
1642,Michael McDerment,1,51,1,1,1,0,0,0,1,1,2003,0,1,1,1,0
1643,Jess Lee,0,46,1,0,0,0,0,0,7,1,2007,0,1,4,1,1
1644,Jianing Hu,1,3,1,0,0,0,0,0,0,1,2007,0,1,4,1,1
1645,Guangwei Yuan,1,6,1,0,0,0,0,0,0,1,2007,0,1,4,1,1
1646,Sravan Puttagunta,1,15,3,0,0,0,0,0,2,1,2014,0,1,4,0,0
1647,Dan McKinney,1,0,2,0,0,13,0,0,0,1,2016,0,1,6,0,1
1648,Frank Sanchez,1,0,1,0,0,0,0,0,0,1,2016,0,1,6,0,1
1649,Jim Joyce,1,0,1,0,0,0,0,0,0,1,2016,0,1,6,0,1
1650,Mike Sanchez,1,0,1,0,0,0,0,0,0,1,2016,0,1,6,0,1
1651,Micha Kaufman,1,15,2,1,1,0,0,1,1,1,2010,0,1,2,1,1
1652,Doug Williams,1,0,1,0,0,0,0,0,0,0,2015,0,1,1,0,1
1653,Tomas Laboutka,1,15,5,0,0,0,0,0,1,1,2013,0,1,5,0,1
1654,Mario Peng,1,3,1,0,0,0,0,0,0,1,2013,0,1,5,0,1
1655,Michal Juhas,1,4,1,0,0,0,0,0,0,1,2013,0,1,5,0,1
1656,Norris Koppel,1,11,1,0,0,0,0,0,3,1,2013,0,1,1,0,1
1657,Ajay Yadav,1,13,1,0,0,0,0,0,1,1,2013,0,1,1,0,1
1658,Dennis Pilarinos,1,0,1,1,1,0,0,0,0,1,2015,0,1,3,0,1
1659,Christopher Stott,1,0,2,0,0,0,0,0,0,1,2015,0,1,3,0,1
1660,Or Offer,1,2,2,0,0,0,0,0,9,1,2007,0,1,2,1,1
1661,Nir Cohen,1,0,1,0,0,0,0,0,0,1,2007,0,1,2,1,1
1662,David Ossip,1,16,2,4,4,0,0,2,0,1,1932,0,1,0,1,0
1663,David A. Steinberg,1,15,2,1,1,0,0,0,2,1,2007,0,1,2,1,1
1664,Serge Faguet,1,8,2,0,0,0,0,0,0,1,2010,0,1,2,1,1
1665,Peter Hames,1,24,2,0,0,0,0,0,4,1,2010,0,1,2,1,1
1666,Colin Espie,1,13,2,0,0,0,0,0,0,1,2010,0,1,2,1,1
1667,Karl Sun,1,16,1,0,0,0,0,0,2,1,2009,0,1,3,1,1
1668,Ben Dilts,1,2,1,0,0,0,0,0,0,1,2009,0,1,3,1,1
1669,Johannes Reck,1,24,1,0,0,0,0,0,9,1,2009,0,1,6,1,1
1670,Tao Tao,1,8,1,1,1,0,0,0,1,1,2009,0,1,6,1,1
1671,Tobias Rein,1,0,1,0,0,0,0,0,0,1,2009,0,1,6,1,1
1672,Martin Sieber,1,1,1,0,0,0,0,0,0,1,2009,0,1,6,1,1
1673,Linc Gasking,1,5,1,0,0,0,0,0,0,1,2014,0,1,4,1,1
1674,Eugene d'Eon,1,0,1,0,0,0,0,0,0,1,2014,0,1,4,1,1
1675,Inaki Berenguer,1,23,3,7,8,0,0,2,0,1,2015,0,1,2,1,1
1676,Rashmi Melgiri,0,1,1,0,0,0,0,0,1,1,2015,0,1,2,1,1
1677,Shanna Tellerman,0,23,2,0,0,0,0,0,3,1,2015,0,1,2,0,1
1678,Shan Sinha,1,41,2,0,0,0,0,0,3,1,2012,0,1,2,1,1
1679,Andrew Leto,1,5,3,1,1,0,1,1,0,1,2003,0,0,1,1,1
1680,Eric LarchevíÈ_que,1,24,1,2,2,0,0,0,2,1,2015,0,1,4,0,0
1681,Apu Gupta,1,40,1,0,0,0,0,0,2,1,2012,0,1,2,1,1
1682,Nick Shiftan,1,4,1,0,0,0,0,0,1,1,2012,0,1,2,1,1
1683,Eran Shir,1,13,2,1,1,0,0,0,0,1,2015,0,1,2,0,1
1684,Bruno Fernandez Ruiz,1,0,1,0,0,0,0,0,1,1,2015,0,1,2,0,1
1685,Jahangir Mohammed,1,27,2,0,0,0,0,0,1,1,2004,0,1,3,1,1
1686,Amit Gupta,1,6,1,0,0,0,0,0,0,1,2004,0,1,3,1,1
1687,Daniel Collins,1,2,1,0,0,0,0,0,0,1,2004,0,1,3,1,1
1688,Amir Konigsberg,1,12,2,0,0,0,0,0,2,1,2014,0,1,2,1,1
1689,Adi Avidor,1,6,1,0,0,0,0,0,0,1,2014,0,1,2,1,1
1690,Sebastien Fabre,1,5,1,0,0,0,0,0,3,1,2009,0,1,6,1,1
1691,Fanny Moizant,0,2,1,0,0,0,0,0,0,1,2009,0,1,6,1,1
1692,Alexandre Cognard,1,0,1,0,0,0,0,0,0,1,2009,0,1,6,1,1
1693,Alexandre Cognard,1,0,1,0,0,0,0,0,0,1,2009,0,1,6,1,1
1694,Sophie Hersan,0,0,1,0,0,0,0,0,0,1,2009,0,1,6,1,1
1695,Henrique Fernandes,1,1,1,0,0,0,0,0,0,1,2009,0,1,6,1,1
1696,Christian Jorge,1,2,1,0,0,0,0,0,0,1,2009,0,1,6,1,1
1697,Qiangdong Liu,1,11,1,1,1,0,0,0,0,1,2004,0,1,1,1,1
1698,Michael Winn,1,12,1,0,0,0,0,0,7,1,2013,0,1,3,1,1
1699,Jono Millin,1,6,3,0,0,0,0,0,0,1,2013,0,1,3,1,1
1700,Nicholas Pilkington,1,2,3,0,0,0,0,0,0,1,2013,0,1,3,1,1
1701,Max Yankelevich,1,9,2,0,0,0,0,0,1,1,2010,0,1,2,1,1
1702,Andrew Volkov,1,0,1,0,0,0,0,0,0,1,2010,0,1,2,1,1
1703,Jessica Mah,0,60,2,0,0,1,0,0,3,1,2009,0,1,3,1,1
1704,Andy Su,1,12,1,0,0,0,0,0,0,1,2009,0,1,3,1,1
1705,Emery Wells,1,2,1,0,0,0,0,0,0,1,2014,0,1,2,1,1
1706,John Traver,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,1,1
1707,Guy Goldstein,1,10,2,0,0,0,0,0,1,1,2007,0,1,2,1,1
1708,Ben Finkel,1,59,2,0,0,0,0,0,0,1,2013,0,1,2,1,1
1709,Josh Tetrick,1,141,2,0,0,0,0,0,3,1,2011,0,1,2,1,1
1710,Nick Weaver,1,18,1,0,0,0,0,0,1,1,2015,0,1,3,1,1
1711,Nate Hardison,1,7,1,0,0,0,0,0,0,1,2015,0,1,3,1,1
1712,Amos Schallich,1,6,1,0,0,0,0,0,0,1,2015,0,1,3,1,1
1713,Brandon Deyo,1,0,1,0,0,0,0,0,0,1,2010,0,1,2,0,1
1714,Bradley Deyo,1,0,1,0,0,0,0,0,0,1,2010,0,1,2,0,1
1715,Rachel Blumenthal,0,2,2,0,0,0,0,0,2,1,2016,0,1,1,0,1
1716,Konstantin Andreev,1,15,2,1,1,0,0,0,0,1,2012,0,1,1,0,1
1717,Omar Kassim,1,10,1,0,0,0,0,0,0,1,2010,0,1,1,1,1
1718,Rami Essaid,1,26,1,2,2,0,0,0,6,1,2011,0,1,4,1,1
1719,Engin Akyol,1,1,1,0,0,0,0,0,0,1,2011,0,1,4,1,1
1720,Andrew Stein,1,1,1,0,0,0,0,0,1,1,2011,0,1,4,1,1
1721,Zoe Barry,0,15,1,0,0,0,0,0,1,1,2012,0,1,1,1,1
1722,Frank Wang,1,4,1,0,0,0,0,0,0,1,2006,0,1,1,1,1
1723,Tony Perkins,1,71,3,0,0,0,0,0,2,1,2003,0,1,1,0,1
1724,Tony Perkins,1,71,3,0,0,0,0,0,2,0,2003,0,1,1,0,1
1725,Dan Widmaier,1,18,1,0,0,0,0,0,2,1,2009,0,1,3,1,1
1726,David Breslauer,1,2,1,0,0,0,0,0,2,1,2009,0,1,3,1,1
1727,Tiago Paiva,1,8,1,1,1,0,0,0,5,1,2011,0,1,2,0,1
1728,Andrew Watkins-Ball,1,6,1,0,0,0,0,0,0,1,2014,0,1,1,1,1
1729,Marwan Forzley,1,25,1,0,0,0,0,0,6,1,2014,0,1,2,1,1
1730,Peter Louis Johnston,1,1,2,0,0,0,0,0,0,1,2014,0,1,1,0,1
1731,Maran Nelson,0,1,2,0,0,0,0,0,1,1,2014,0,1,2,0,1
1732,Michael Akilian,1,1,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
1733,Scott Nelson,1,5,1,0,0,0,0,0,1,1,2014,0,1,1,1,1
1734,Manish Amin,1,7,1,1,1,0,0,0,0,1,2006,0,0,3,1,1
1735,Sabina Chopra,0,4,1,0,0,0,0,0,1,1,2006,0,0,3,1,1
1736,Michael Jaconi,1,16,1,0,0,0,0,0,2,1,2014,0,1,6,1,1
1737,Mike Dudas,1,21,1,0,0,0,0,0,0,1,2014,0,1,6,1,1
1738,Chris Maddern,1,7,2,0,0,0,0,0,1,1,2014,0,1,6,1,1
1739,Tanner Hackett,1,2,1,0,0,0,0,0,0,1,2014,0,1,6,1,1
1740,Stephen Milbank,1,1,1,0,0,0,0,0,0,1,2014,0,1,6,1,1
1741,Siddhartha Dabral,1,0,1,0,0,0,0,0,0,1,2014,0,1,6,1,1
1742,Zahir Dossa,1,0,1,0,0,0,0,0,2,1,2015,0,1,3,0,1
1743,Joshua Maciejewski,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
1744,Hien Nguyen,0,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
1745,Raphael Gindrat,1,9,1,0,0,0,0,0,1,1,2014,0,1,2,0,1
1746,Anne Mellano,0,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
1747,Toby Corey,1,7,3,0,0,0,0,0,0,1,2014,0,0,3,0,1
1748,Dan Greenberg,1,40,1,0,0,0,0,0,2,1,2007,0,1,4,1,1
1749,Rob Fan,1,0,1,0,0,0,0,0,1,1,2007,0,1,4,1,1
1750,Pramod Sharma,1,40,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
1751,Jerome Scholler,1,25,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
1752,Ren Wu (PhD),1,4,1,0,0,0,0,0,1,1,2015,0,1,1,0,1
1753,Eric Gilmore,1,2,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
1754,Jeff Dangelo,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
1755,Sai Rajkiran Nagboth,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
1756,Zack Rosen,1,13,1,0,0,0,0,0,0,1,2010,0,1,4,0,1
1757,Zack Rosen,1,13,1,0,0,0,0,0,0,1,2016,0,1,3,0,1
1758,Josh Koenig,1,6,2,0,0,0,0,0,1,1,2010,0,1,4,0,1
1759,Josh Koenig,1,6,2,0,0,0,0,0,1,1,2016,0,1,3,0,1
1760,Kim Gordon,0,6,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
1761,Allen Blue,1,56,1,1,1,0,0,0,1,1,2003,0,1,5,1,1
1762,Jasen Wang,1,16,1,0,0,0,0,0,1,1,2011,0,1,1,1,1
1763,Wayne Slavin,1,1,2,0,0,0,0,0,1,1,2014,0,1,1,0,1
1764,Wayne Slavin,1,1,2,0,0,0,0,0,1,1,2015,0,1,4,0,1
1765,Robert Gentz,1,11,1,2,2,0,0,0,5,1,2008,0,1,2,1,1
1766,David Schneider,1,0,1,1,1,0,0,0,0,1,2008,0,1,2,1,1
1767,Stephen Dash,1,21,1,0,0,0,0,0,1,1,2012,0,1,1,1,1
1768,Sacha Poignonnec,1,27,2,0,0,0,0,0,2,1,2012,0,1,0,1,0
1769,Komal Ahmad,0,4,1,0,0,0,0,0,0,1,2012,0,1,1,0,1
1770,Kurt Mackey,1,7,1,3,3,0,0,0,0,1,2011,0,1,3,1,1
1771,Ben Wyrosdick,1,1,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
1772,Jason McCay,1,8,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
1773,Lyle Fong,1,16,2,1,1,0,0,0,0,1,2014,0,1,2,0,1
1774,Brad Weisberg,1,5,1,0,0,0,0,0,0,1,2010,0,1,2,1,1
1775,CJ Przybyl,1,1,1,0,0,0,0,0,1,1,2010,0,1,2,1,1
1776,Priyanka Gill,0,11,1,2,2,0,0,1,2,1,2013,0,1,2,1,1
1777,Namrata Bostrom,0,6,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
1778,Ragnar Sass,1,8,3,0,0,0,0,0,7,1,2010,0,1,5,1,1
1779,Timo Rein,1,11,1,0,0,0,0,0,2,1,2010,0,1,5,1,1
1780,Martin Henk,1,2,1,1,1,0,0,0,2,1,2010,0,1,5,1,1
1781,Martin Tajur,1,0,3,1,1,0,0,0,0,1,2010,0,1,5,1,1
1782,Urmas Purde,1,0,1,0,0,0,0,0,0,1,2010,0,1,5,1,1
1783,Yoni Bloch,1,18,1,0,0,0,0,0,4,1,2010,0,1,2,1,1
1784,Barak Feldman,1,0,1,0,0,0,0,0,0,1,2010,0,1,2,1,1
1785,Karamjit Singh,1,17,1,0,0,0,0,0,1,1,2012,0,1,3,0,1
1786,Daniel Ruch,1,3,1,0,0,0,0,0,1,1,2013,0,1,2,1,1
1787,Vasu Kulkarni,1,21,1,0,0,0,0,0,1,1,2008,0,1,1,1,1
1788,Stuart Lombard,1,12,1,0,0,0,0,0,2,1,2007,0,0,3,1,1
1789,John Metselaar,1,0,1,0,0,0,0,0,0,1,2007,0,0,3,1,1
1790,Mark Malchiondo,1,0,1,0,0,0,0,0,0,1,2007,0,0,3,1,1
1791,Keyvan Mohajer,1,26,2,0,0,0,0,0,3,1,2005,0,1,3,1,0
1792,James Hom,1,0,1,0,0,0,0,0,0,1,2005,0,1,3,1,1
1793,Majid Emami,2,0,1,0,0,0,0,0,0,1,2005,0,1,3,1,1
1794,Majid Emami,2,0,1,0,0,0,0,0,0,1,2005,0,1,3,1,1
1795,Abhijit Bose,1,34,1,0,0,0,0,0,1,1,2011,0,1,5,1,1
1796,Sanjay Swamy,1,74,5,0,0,0,0,0,1,1,2011,0,1,5,1,1
1797,Shripati Acharya,1,29,4,0,0,0,0,0,0,1,2011,0,1,5,1,1
1798,Bhaktha Keshavachar,1,11,1,0,0,0,0,0,0,1,2011,0,1,5,1,1
1799,Sameer Bhalotra,1,4,1,0,0,0,0,0,1,1,2014,0,1,2,0,1
1800,Ali Golshan,1,2,2,0,0,0,0,0,0,1,2014,0,1,2,0,1
1801,Edith Harbaugh,0,8,1,0,0,0,0,0,6,1,2014,0,1,2,0,0
1802,John Kodumal,1,1,1,0,0,0,0,0,1,1,2014,0,1,2,0,1
1803,Chad Rigetti,1,0,1,0,0,0,0,0,0,1,2013,0,1,1,1,1
1804,Steve Kaufer,1,61,2,1,1,0,0,0,0,1,2000,0,1,1,1,0
1805,Tasso Roumeliotis,1,31,2,0,0,0,0,0,1,1,2000,0,1,1,1,1
1806,Rafael Ilishayev,1,11,1,0,0,0,0,0,1,1,2013,0,1,2,0,1
1807,Yakir Gola,1,0,1,0,0,0,0,0,1,1,2013,0,1,2,0,1
1808,Eric Ly,1,15,3,2,2,0,0,1,0,1,2007,0,0,2,0,1
1809,Srinivas Lakshman,1,1,1,0,0,0,0,0,0,1,2012,0,1,2,1,1
1810,Andy Zhong,1,22,2,0,0,0,0,0,2,1,2010,0,0,1,1,1
1811,Greg Schvey,1,10,3,0,0,0,0,0,1,1,2013,0,1,2,0,0
1812,Euwyn Poon,1,4,1,0,0,0,0,0,0,1,2016,0,1,3,0,1
1813,Zaizhuang Cheng,1,2,1,0,0,0,0,0,0,1,2016,0,1,3,0,1
1814,Derrick Ko,1,2,1,0,0,0,0,0,1,1,2016,0,1,3,0,1
1815,Kash Shaikh,1,4,1,0,0,0,0,0,0,1,2014,0,1,1,0,1
1816,Niall Murphy,1,31,1,0,0,0,0,0,4,1,2011,0,1,4,1,1
1817,Dominique Guinard,1,2,1,0,0,0,0,0,1,1,2011,0,1,4,1,1
1818,Andy Hobsbawm,1,16,2,0,0,0,0,0,3,1,2011,0,1,4,1,1
1819,Jeff Foster,1,0,1,0,0,0,0,0,2,1,2014,0,1,2,0,0
1820,Lukasz Strozek,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
1821,Alagu Periyannan,1,3,1,0,0,0,0,0,0,1,2009,0,1,2,1,1
1822,Lingyun Gu,1,6,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
1823,Chris Williams,1,5,4,1,1,0,0,0,0,1,2011,0,1,3,1,1
1824,Geetansh Bamania,1,4,1,0,0,0,0,0,1,1,2014,0,1,2,1,1
1825,Ajay Nain,1,2,1,0,0,0,0,0,0,1,2014,0,1,2,1,1
1826,Alexis Richardson,1,26,4,0,0,0,0,0,5,1,2014,0,1,2,1,0
1827,Matthias Radestock,1,2,1,0,0,0,0,0,0,1,2014,0,1,2,1,1
1828,John Shahidi,1,28,1,0,0,0,0,0,2,1,2013,0,1,2,0,1
1829,Sam Shahidi,1,10,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
1830,Kristen Koh Goldstein,0,10,3,0,0,0,0,0,2,1,2010,0,1,3,0,1
1831,Jessica Scorpio,0,31,2,1,1,0,0,0,5,1,2009,0,1,3,1,1
1832,Elliot Kroo,1,2,1,0,0,0,0,0,1,1,2009,0,1,3,1,1
1833,Abakar Saidov,1,3,2,0,0,0,0,0,1,1,2014,0,1,3,0,1
1834,Sultan Murad Saidov,1,0,2,0,0,0,0,0,0,1,2014,0,1,3,0,1
1835,Jan Erik Solem,1,14,3,3,3,0,0,0,8,1,2013,0,1,4,0,1
1836,Peter Neubauer,1,1,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
1837,Johan Gyllenspetz,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
1838,Johan Gyllenspetz,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
1839,Yubin Kuang,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
1840,Bob Aspell,1,3,1,0,0,0,0,0,0,1,2012,0,0,2,0,1
1841,Vivek Shah,1,8,2,0,0,0,0,0,0,1,2012,0,0,2,0,1
1842,Frederick Townes,1,17,3,1,1,0,0,0,0,1,2008,0,1,2,1,1
1843,Matthew Barba,1,22,1,0,0,0,0,0,0,1,2008,0,1,2,1,1
1844,Maureen Fan,0,1,1,0,0,0,0,0,10,1,2015,0,1,2,1,1
1845,Larry Cutler,1,0,1,0,0,0,0,0,2,1,2015,0,1,2,1,1
1846,Sean Behr,1,17,1,1,1,0,0,0,1,1,2014,0,1,4,1,1
1847,Shmulik Fishman,1,0,1,0,0,0,0,0,0,1,2014,0,1,4,1,1
1848,Gurjeet Singh,1,25,1,0,0,0,0,0,3,1,2008,0,1,3,1,1
1849,Gunnar Carlsson,1,12,1,0,0,0,0,0,2,1,2008,0,1,3,1,1
1850,Harlan Sexton,1,7,1,0,0,0,0,0,0,1,2008,0,1,3,1,1
1851,Vineet Jain,1,129,2,1,1,0,0,0,0,1,2007,0,1,3,1,1
1852,Rajesh Ram,1,19,1,0,0,0,0,0,0,1,2007,0,1,3,1,1
1853,Kris Lahiri,1,4,1,0,0,0,0,0,0,1,2007,0,1,3,1,1
1854,Lew Cirne,1,152,2,0,0,1,0,0,5,1,2008,0,1,1,1,1
1855,Tom Davidson,1,2,1,1,1,0,0,1,2,1,2008,0,1,3,1,1
1856,Ray Martinez,1,0,1,0,0,0,0,0,0,1,2008,0,1,3,1,1
1857,Jon Chapman,1,1,1,0,0,0,0,0,0,1,2008,0,1,3,1,1
1858,Irfan Ahmad,1,7,1,0,0,0,0,0,1,1,2011,0,0,4,1,1
1859,John Blumenthal,1,14,1,0,0,0,0,0,0,1,2011,0,0,4,1,1
1860,Ilir Sela,1,1,1,0,0,0,0,0,0,1,2009,0,1,1,1,1
1861,Liam Casey,1,56,2,1,1,0,0,0,4,1,1996,0,1,3,1,1
1862,Mark Wheeler,1,1,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
1863,James Wu,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
1864,Anthemos Georgiades,1,26,1,0,0,0,0,0,1,1,2012,0,1,4,1,1
1865,Russell Middleton,1,2,1,0,0,0,0,0,0,1,2012,0,1,4,1,1
